"","section","x","y","seenRed","seenBlue"
"1","five",0,0.0351030471486536,4,1
"2","five",0.1,0.0413994075779283,4,1
"3","five",0.2,0.0385088816318989,4,1
"4","five",0.3,0.0408804545181238,4,1
"5","five",0.4,0.0569938662940028,4,1
"6","five",0.5,0.101784239051232,4,1
"7","five",0.6,0.133822628601596,4,1
"8","five",0.7,0.166003573552838,4,1
"9","five",0.8,0.264424954200681,4,1
"10","five",0.9,0.0977440932702948,4,1
"11","five",1,0.0233348541527512,4,1
"12","prior",0,0.0509456930701636,0,0
"13","prior",0.1,0.0558047129798249,0,0
"14","prior",0.2,0.0767369903793733,0,0
"15","prior",0.3,0.107777121984804,0,0
"16","prior",0.4,0.14584177607544,0,0
"17","prior",0.5,0.204440766198666,0,0
"18","prior",0.6,0.112048384460879,0,0
"19","prior",0.7,0.0974750860733978,0,0
"20","prior",0.8,0.0575356250897554,0,0
"21","prior",0.9,0.0491462646227575,0,0
"22","prior",1,0.042247579064939,0,0
"23","unlimited",0,0.0263430111123412,16.9158878504673,4.26168224299065
"24","unlimited",0.1,0.0241750570355853,16.9158878504673,4.26168224299065
"25","unlimited",0.2,0.0345361976440904,16.9158878504673,4.26168224299065
"26","unlimited",0.3,0.031686216635652,16.9158878504673,4.26168224299065
"27","unlimited",0.4,0.0391489000139533,16.9158878504673,4.26168224299065
"28","unlimited",0.5,0.0528604889036519,16.9158878504673,4.26168224299065
"29","unlimited",0.6,0.087067737276022,16.9158878504673,4.26168224299065
"30","unlimited",0.7,0.154017318415627,16.9158878504673,4.26168224299065
"31","unlimited",0.8,0.383302336944585,16.9158878504673,4.26168224299065
"32","unlimited",0.9,0.145894535857464,16.9158878504673,4.26168224299065
"33","unlimited",1,0.0209682001610285,16.9158878504673,4.26168224299065
